Strategy,N_Params,Success Rate (%),Total Cost,Cost-Effectiveness,Parameters,Magnitudes,Budget
k_degradation↓20% + detachment_threshold↑30%,2,100,2060,0.4854368932038835,"k_degradation, detachment_threshold","20%, 30%",6000
k_degradation↓30% + k_economic_decay↓20%,2,100,2090,0.4784688995215311,"k_degradation, k_economic_decay","30%, 20%",4000
k_degradation↓30% + k_economic_decay↓20%,2,100,2090,0.4784688995215311,"k_degradation, k_economic_decay","30%, 20%",6000
k_trust_decay↓10% + k_degradation↓30%,2,100,2100,0.47619047619047616,"k_trust_decay, k_degradation","10%, 30%",4000
k_trust_decay↓10% + k_degradation↓30%,2,100,2100,0.47619047619047616,"k_trust_decay, k_degradation","10%, 30%",6000
k_degradation↓30% + k_resource_depletion↓20%,2,100,2150,0.4651162790697675,"k_degradation, k_resource_depletion","30%, 20%",4000
k_degradation↓30% + k_resource_depletion↓20%,2,100,2150,0.4651162790697675,"k_degradation, k_resource_depletion","30%, 20%",6000
k_degradation↓30% + Km_trust_economy↓30%,2,100,2190,0.45662100456621,"k_degradation, Km_trust_economy","30%, 30%",4000
k_degradation↓30% + Km_trust_economy↓30%,2,100,2190,0.45662100456621,"k_degradation, Km_trust_economy","30%, 30%",6000
k_degradation↓30% + Km_production↓30%,2,100,2250,0.4444444444444445,"k_degradation, Km_production","30%, 30%",4000
k_degradation↓30% + T_threshold_weak_strong↓20%,2,100,2250,0.4444444444444445,"k_degradation, T_threshold_weak_strong","30%, 20%",4000
k_degradation↓30% + T_threshold_weak_strong↓20%,2,100,2250,0.4444444444444445,"k_degradation, T_threshold_weak_strong","30%, 20%",6000
k_degradation↓30% + Km_production↓30%,2,100,2250,0.4444444444444445,"k_degradation, Km_production","30%, 30%",6000
k_degradation↓30% + detachment_threshold↑20%,2,100,2290,0.4366812227074236,"k_degradation, detachment_threshold","30%, 20%",4000
k_degradation↓30% + detachment_threshold↑20%,2,100,2290,0.4366812227074236,"k_degradation, detachment_threshold","30%, 20%",6000
k_detachment_base↓10% + k_degradation↓30%,2,100,2300,0.4347826086956522,"k_detachment_base, k_degradation","10%, 30%",4000
k_detachment_base↓10% + k_degradation↓30%,2,100,2300,0.4347826086956522,"k_detachment_base, k_degradation","10%, 30%",6000
k_degradation↓30% + k_economic_decay↓30%,2,100,2310,0.4329004329004329,"k_degradation, k_economic_decay","30%, 30%",4000
k_degradation↓30% + k_economic_decay↓30%,2,100,2310,0.4329004329004329,"k_degradation, k_economic_decay","30%, 30%",6000
k_degradation↓30% + k_resource_depletion↓30%,2,100,2400,0.4166666666666667,"k_degradation, k_resource_depletion","30%, 30%",4000
k_violence_detached_weak↓10% + k_degradation↓30%,2,100,2400,0.4166666666666667,"k_violence_detached_weak, k_degradation","10%, 30%",4000
k_degradation↓30% + k_resource_depletion↓30%,2,100,2400,0.4166666666666667,"k_degradation, k_resource_depletion","30%, 30%",6000
k_violence_detached_weak↓10% + k_degradation↓30%,2,100,2400,0.4166666666666667,"k_violence_detached_weak, k_degradation","10%, 30%",6000
k_degradation↓30% + T_threshold_detached_weak↓20%,2,100,2410,0.41493775933609955,"k_degradation, T_threshold_detached_weak","30%, 20%",4000
k_degradation↓30% + T_threshold_detached_weak↓20%,2,100,2410,0.41493775933609955,"k_degradation, T_threshold_detached_weak","30%, 20%",6000
k_degradation↓30% + k_violence_decay↑20%,2,100,2450,0.40816326530612246,"k_degradation, k_violence_decay","30%, 20%",4000
k_violence_detached↓10% + k_degradation↓30%,2,100,2450,0.40816326530612246,"k_violence_detached, k_degradation","10%, 30%",4000
k_degradation↓30% + k_violence_decay↑20%,2,100,2450,0.40816326530612246,"k_degradation, k_violence_decay","30%, 20%",6000
k_violence_detached↓10% + k_degradation↓30%,2,100,2450,0.40816326530612246,"k_violence_detached, k_degradation","10%, 30%",6000
k_detachment_base↓10% + k_degradation↓30% + k_economic_decay↓10%,3,100,2520,0.3968253968253968,"k_detachment_base, k_degradation, k_economic_decay","10%, 30%, 10%",4000
k_detachment_base↓10% + k_degradation↓30% + k_economic_decay↓10%,3,100,2520,0.3968253968253968,"k_detachment_base, k_degradation, k_economic_decay","10%, 30%, 10%",6000
k_trust_decay↓20% + k_degradation↓30%,2,100,2550,0.39215686274509803,"k_trust_decay, k_degradation","20%, 30%",4000
k_degradation↓30% + T_threshold_weak_strong↓30%,2,100,2550,0.39215686274509803,"k_degradation, T_threshold_weak_strong","30%, 30%",4000
k_recovery↑10% + k_degradation↓30%,2,100,2550,0.39215686274509803,"k_recovery, k_degradation","10%, 30%",4000
k_trust_decay↓20% + k_degradation↓30%,2,100,2550,0.39215686274509803,"k_trust_decay, k_degradation","20%, 30%",6000
k_degradation↓30% + T_threshold_weak_strong↓30%,2,100,2550,0.39215686274509803,"k_degradation, T_threshold_weak_strong","30%, 30%",6000
k_recovery↑10% + k_degradation↓30%,2,100,2550,0.39215686274509803,"k_recovery, k_degradation","10%, 30%",6000
k_degradation↓30% + detachment_threshold↑30%,2,100,2610,0.3831417624521073,"k_degradation, detachment_threshold","30%, 30%",4000
k_degradation↓30% + detachment_threshold↑30%,2,100,2610,0.3831417624521073,"k_degradation, detachment_threshold","30%, 30%",6000
Vmax_trust↑10% + k_degradation↓30%,2,100,2650,0.3773584905660377,"Vmax_trust, k_degradation","10%, 30%",4000
Vmax_trust↑10% + k_degradation↓30%,2,100,2650,0.3773584905660377,"Vmax_trust, k_degradation","10%, 30%",6000
k_degradation↓30% + E_threshold↓30%,2,100,2700,0.37037037037037035,"k_degradation, E_threshold","30%, 30%",4000
k_degradation↓30% + E_threshold↓30%,2,100,2700,0.37037037037037035,"k_degradation, E_threshold","30%, 30%",6000
k_degradation↓30% + T_threshold_detached_weak↓30%,2,100,2790,0.35842293906810035,"k_degradation, T_threshold_detached_weak","30%, 30%",4000
k_degradation↓30% + T_threshold_detached_weak↓30%,2,100,2790,0.35842293906810035,"k_degradation, T_threshold_detached_weak","30%, 30%",6000
k_degradation↓30% + k_violence_decay↑30%,2,100,2850,0.3508771929824561,"k_degradation, k_violence_decay","30%, 30%",4000
R_amplitude↑10% + k_degradation↓30%,2,100,2850,0.3508771929824561,"R_amplitude, k_degradation","10%, 30%",4000
R_amplitude↑10% + k_degradation↓30%,2,100,2850,0.3508771929824561,"R_amplitude, k_degradation","10%, 30%",6000
k_degradation↓30% + k_violence_decay↑30%,2,100,2850,0.3508771929824561,"k_degradation, k_violence_decay","30%, 30%",6000
k_detachment_base↓20% + k_degradation↓30%,2,100,2950,0.33898305084745767,"k_detachment_base, k_degradation","20%, 30%",4000
k_detachment_base↓20% + k_degradation↓30%,2,100,2950,0.33898305084745767,"k_detachment_base, k_degradation","20%, 30%",6000
k_trust_decay↓30% + k_degradation↓30%,2,100,3000,0.3333333333333333,"k_trust_decay, k_degradation","30%, 30%",4000
k_trust_decay↓30% + k_degradation↓30%,2,100,3000,0.3333333333333333,"k_trust_decay, k_degradation","30%, 30%",6000
k_violence_detached_weak↓20% + k_degradation↓30%,2,100,3150,0.31746031746031744,"k_violence_detached_weak, k_degradation","20%, 30%",4000
Vmax_production↑10% + k_degradation↓30%,2,100,3150,0.31746031746031744,"Vmax_production, k_degradation","10%, 30%",4000
Vmax_production↑10% + k_degradation↓30%,2,100,3150,0.31746031746031744,"Vmax_production, k_degradation","10%, 30%",6000
k_violence_detached_weak↓20% + k_degradation↓30%,2,100,3150,0.31746031746031744,"k_violence_detached_weak, k_degradation","20%, 30%",6000
k_detachment_base↓20% + k_economic_decay↓10% + k_degradation↓30%,3,100,3170,0.3154574132492114,"k_detachment_base, k_economic_decay, k_degradation","20%, 10%, 30%",4000
k_detachment_base↓20% + k_economic_decay↓10% + k_degradation↓30%,3,100,3170,0.3154574132492114,"k_detachment_base, k_economic_decay, k_degradation","20%, 10%, 30%",6000
k_violence_detached↓20% + k_degradation↓30%,2,100,3250,0.3076923076923077,"k_violence_detached, k_degradation","20%, 30%",4000
k_violence_detached↓20% + k_degradation↓30%,2,100,3250,0.3076923076923077,"k_violence_detached, k_degradation","20%, 30%",6000
k_degradation↓30% + Vmax_trust↑10% + E_threshold↓20%,3,100,3350,0.2985074626865672,"k_degradation, Vmax_trust, E_threshold","30%, 10%, 20%",4000
k_degradation↓30% + Vmax_trust↑10% + E_threshold↓20%,3,100,3350,0.2985074626865672,"k_degradation, Vmax_trust, E_threshold","30%, 10%, 20%",6000
R_amplitude↑20% + detachment_threshold↑30%,2,100,3360,0.29761904761904767,"R_amplitude, detachment_threshold","20%, 30%",4000
R_amplitude↑20% + detachment_threshold↑30%,2,100,3360,0.29761904761904767,"R_amplitude, detachment_threshold","20%, 30%",6000
k_recovery↑20% + k_degradation↓30%,2,100,3450,0.2898550724637681,"k_recovery, k_degradation","20%, 30%",4000
k_recovery↑20% + k_degradation↓30%,2,100,3450,0.2898550724637681,"k_recovery, k_degradation","20%, 30%",6000
R_amplitude↑20% + k_degradation↓20%,2,100,3500,0.28571428571428575,"R_amplitude, k_degradation","20%, 20%",6000
k_violence_detached↓30% + k_degradation↓20%,2,100,3500,0.28571428571428575,"k_violence_detached, k_degradation","30%, 20%",4000
R_amplitude↑20% + k_degradation↓20%,2,100,3500,0.28571428571428575,"R_amplitude, k_degradation","20%, 20%",4000
k_violence_detached↓30% + k_degradation↓20%,2,100,3500,0.28571428571428575,"k_violence_detached, k_degradation","30%, 20%",6000
k_detachment_base↓30% + k_degradation↓30%,2,100,3600,0.2777777777777778,"k_detachment_base, k_degradation","30%, 30%",6000
k_detachment_base↓30% + k_degradation↓30%,2,100,3600,0.2777777777777778,"k_detachment_base, k_degradation","30%, 30%",4000
Vmax_trust↑20% + k_degradation↓30%,2,100,3650,0.273972602739726,"Vmax_trust, k_degradation","20%, 30%",6000
Vmax_trust↑20% + k_degradation↓30%,2,100,3650,0.273972602739726,"Vmax_trust, k_degradation","20%, 30%",4000
R_amplitude↑30% + Km_production↓10%,2,100,3800,0.2631578947368421,"R_amplitude, Km_production","30%, 10%",4000
R_amplitude↑30% + Km_production↓10%,2,100,3800,0.2631578947368421,"R_amplitude, Km_production","30%, 10%",6000
R_amplitude↑30% + k_economic_decay↓10%,2,100,3820,0.26178010471204194,"R_amplitude, k_economic_decay","30%, 10%",6000
R_amplitude↑30% + k_economic_decay↓10%,2,100,3820,0.26178010471204194,"R_amplitude, k_economic_decay","30%, 10%",4000
R_amplitude↑30% + k_resource_depletion↓10%,2,100,3850,0.2597402597402597,"R_amplitude, k_resource_depletion","30%, 10%",4000
R_amplitude↑30% + k_resource_depletion↓10%,2,100,3850,0.2597402597402597,"R_amplitude, k_resource_depletion","30%, 10%",6000
k_violence_detached_weak↓30% + k_degradation↓30%,2,100,3900,0.2564102564102564,"k_violence_detached_weak, k_degradation","30%, 30%",4000
k_violence_detached_weak↓30% + k_degradation↓30%,2,100,3900,0.2564102564102564,"k_violence_detached_weak, k_degradation","30%, 30%",6000
R_amplitude↑30% + detachment_threshold↑10%,2,100,3920,0.25510204081632654,"R_amplitude, detachment_threshold","30%, 10%",4000
R_amplitude↑30% + detachment_threshold↑10%,2,100,3920,0.25510204081632654,"R_amplitude, detachment_threshold","30%, 10%",6000
R_amplitude↑30% + Km_trust_economy↓20%,2,100,3960,0.25252525252525254,"R_amplitude, Km_trust_economy","30%, 20%",4000
R_amplitude↑30% + Km_trust_economy↓20%,2,100,3960,0.25252525252525254,"R_amplitude, Km_trust_economy","30%, 20%",6000
R_amplitude↑30% + T_threshold_detached_weak↓10%,2,100,3980,0.2512562814070352,"R_amplitude, T_threshold_detached_weak","30%, 10%",4000
R_amplitude↑30% + T_threshold_detached_weak↓10%,2,100,3980,0.2512562814070352,"R_amplitude, T_threshold_detached_weak","30%, 10%",6000
R_amplitude↑20% + k_violence_detached↓20%,2,100,4000,0.25,"R_amplitude, k_violence_detached","20%, 20%",4000
R_amplitude↑30% + Km_production↓20%,2,100,4000,0.25,"R_amplitude, Km_production","30%, 20%",4000
R_amplitude↑30% + k_violence_decay↑10%,2,100,4000,0.25,"R_amplitude, k_violence_decay","30%, 10%",4000
R_amplitude↑30% + Km_production↓20%,2,100,4000,0.25,"R_amplitude, Km_production","30%, 20%",6000
R_amplitude↑20% + k_violence_detached↓20%,2,100,4000,0.25,"R_amplitude, k_violence_detached","20%, 20%",6000
R_amplitude↑30% + k_violence_decay↑10%,2,100,4000,0.25,"R_amplitude, k_violence_decay","30%, 10%",6000
R_amplitude↑30% + k_economic_decay↓20%,2,100,4040,0.24752475247524752,"R_amplitude, k_economic_decay","30%, 20%",6000
k_violence_detached↓30% + k_degradation↓30%,2,100,4050,0.2469135802469136,"k_violence_detached, k_degradation","30%, 30%",6000
R_amplitude↑20% + k_degradation↓30%,2,100,4050,0.2469135802469136,"R_amplitude, k_degradation","20%, 30%",6000
R_amplitude↑30% + k_resource_depletion↓20%,2,100,4100,0.24390243902439024,"R_amplitude, k_resource_depletion","30%, 20%",6000
R_amplitude↑30% + Km_trust_economy↓30%,2,100,4140,0.24154589371980675,"R_amplitude, Km_trust_economy","30%, 30%",6000
R_amplitude↑30% + k_degradation↓10%,2,100,4150,0.24096385542168675,"R_amplitude, k_degradation","30%, 10%",6000
R_amplitude↑30% + T_threshold_weak_strong↓20%,2,100,4200,0.23809523809523808,"R_amplitude, T_threshold_weak_strong","30%, 20%",6000
R_amplitude↑30% + Km_production↓30%,2,100,4200,0.23809523809523808,"R_amplitude, Km_production","30%, 30%",6000
R_amplitude↑30% + k_economic_decay↓10% + k_violence_decay↑10%,3,100,4220,0.23696682464454977,"R_amplitude, k_economic_decay, k_violence_decay","30%, 10%, 10%",6000
R_amplitude↑30% + detachment_threshold↑20%,2,100,4240,0.2358490566037736,"R_amplitude, detachment_threshold","30%, 20%",6000
R_amplitude↑30% + k_detachment_base↓10%,2,100,4250,0.23529411764705882,"R_amplitude, k_detachment_base","30%, 10%",6000
R_amplitude↑30% + k_economic_decay↓30%,2,100,4260,0.2347417840375587,"R_amplitude, k_economic_decay","30%, 30%",6000
R_amplitude↑30% + k_resource_depletion↓30%,2,100,4350,0.22988505747126436,"R_amplitude, k_resource_depletion","30%, 30%",6000
k_recovery↑30% + k_degradation↓30%,2,100,4350,0.22988505747126436,"k_recovery, k_degradation","30%, 30%",6000
R_amplitude↑30% + k_violence_detached_weak↓10%,2,100,4350,0.22988505747126436,"R_amplitude, k_violence_detached_weak","30%, 10%",6000
R_amplitude↑30% + T_threshold_detached_weak↓20%,2,100,4360,0.22935779816513763,"R_amplitude, T_threshold_detached_weak","30%, 20%",6000
R_amplitude↑30% + k_violence_decay↑20%,2,100,4400,0.22727272727272727,"R_amplitude, k_violence_decay","30%, 20%",6000
R_amplitude↑30% + k_violence_detached↓10%,2,100,4400,0.22727272727272727,"R_amplitude, k_violence_detached","30%, 10%",6000
k_detachment_base↓20% + k_degradation↓30% + k_violence_detached_weak↓20%,3,100,4450,0.22471910112359553,"k_detachment_base, k_degradation, k_violence_detached_weak","20%, 30%, 20%",6000
R_amplitude↑30% + k_recovery↑10%,2,100,4500,0.22222222222222224,"R_amplitude, k_recovery","30%, 10%",6000
R_amplitude↑30% + k_trust_decay↓20%,2,100,4500,0.22222222222222224,"R_amplitude, k_trust_decay","30%, 20%",6000
R_amplitude↑30% + T_threshold_weak_strong↓30%,2,100,4500,0.22222222222222224,"R_amplitude, T_threshold_weak_strong","30%, 30%",6000
R_amplitude↑30% + detachment_threshold↑30%,2,100,4560,0.2192982456140351,"R_amplitude, detachment_threshold","30%, 30%",6000
R_amplitude↑30% + Vmax_trust↑10%,2,100,4600,0.2173913043478261,"R_amplitude, Vmax_trust","30%, 10%",6000
Vmax_trust↑30% + k_degradation↓30%,2,100,4650,0.21505376344086022,"Vmax_trust, k_degradation","30%, 30%",6000
Vmax_production↑20% + k_degradation↓30%,2,100,4650,0.21505376344086022,"Vmax_production, k_degradation","20%, 30%",6000
R_amplitude↑30% + k_degradation↓20%,2,100,4700,0.2127659574468085,"R_amplitude, k_degradation","30%, 20%",6000
R_amplitude↑30% + T_threshold_detached_weak↓30%,2,100,4740,0.2109704641350211,"R_amplitude, T_threshold_detached_weak","30%, 30%",6000
R_amplitude↑30% + k_violence_decay↑30%,2,100,4800,0.20833333333333334,"R_amplitude, k_violence_decay","30%, 30%",6000
R_amplitude↑20% + k_violence_detached↓30%,2,100,4800,0.20833333333333334,"R_amplitude, k_violence_detached","20%, 30%",6000
R_amplitude↑30% + k_detachment_base↓20%,2,100,4900,0.20408163265306123,"R_amplitude, k_detachment_base","30%, 20%",6000
R_amplitude↑30% + detachment_threshold↑10% + k_trust_destruction↓20%,3,100,4920,0.2032520325203252,"R_amplitude, detachment_threshold, k_trust_destruction","30%, 10%, 20%",6000
R_amplitude↑30% + k_trust_decay↓30%,2,100,4950,0.20202020202020202,"R_amplitude, k_trust_decay","30%, 30%",6000
Vmax_production↑10% + R_amplitude↑30%,2,100,5100,0.19607843137254902,"Vmax_production, R_amplitude","10%, 30%",6000
R_amplitude↑30% + k_resource_depletion↓30% + k_violence_detached_weak↓10%,3,100,5100,0.19607843137254902,"R_amplitude, k_resource_depletion, k_violence_detached_weak","30%, 30%, 10%",6000
R_amplitude↑30% + k_violence_detached_weak↓20%,2,100,5100,0.19607843137254902,"R_amplitude, k_violence_detached_weak","30%, 20%",6000
R_amplitude↑30% + k_violence_detached↓20%,2,100,5200,0.19230769230769232,"R_amplitude, k_violence_detached","30%, 20%",6000
R_amplitude↑30% + k_degradation↓30%,2,100,5250,0.1904761904761905,"R_amplitude, k_degradation","30%, 30%",6000
R_amplitude↑30% + k_recovery↑20%,2,100,5400,0.18518518518518517,"R_amplitude, k_recovery","30%, 20%",6000
R_amplitude↑20% + k_violence_detached_weak↓20% + k_violence_detached↓20%,3,100,5500,0.1818181818181818,"R_amplitude, k_violence_detached_weak, k_violence_detached","20%, 20%, 20%",6000
R_amplitude↑30% + k_detachment_base↓30%,2,100,5550,0.18018018018018017,"R_amplitude, k_detachment_base","30%, 30%",6000
R_amplitude↑30% + Vmax_trust↑20%,2,100,5600,0.17857142857142858,"R_amplitude, Vmax_trust","30%, 20%",6000
Vmax_trust↑30% + detachment_threshold↑10% + R_amplitude↑20%,3,100,5720,0.17482517482517482,"Vmax_trust, detachment_threshold, R_amplitude","30%, 10%, 20%",6000
R_amplitude↑30% + k_violence_detached_weak↓30%,2,100,5850,0.17094017094017094,"R_amplitude, k_violence_detached_weak","30%, 30%",6000
R_amplitude↑30% + k_violence_detached↓30%,2,100,6000,0.16666666666666666,"R_amplitude, k_violence_detached","30%, 30%",6000
k_recovery↑10% + Km_production↓10%,2,0,1100,0.0,"k_recovery, Km_production","10%, 10%",2000
k_recovery↑10% + Km_production↓20%,2,0,1300,0.0,"k_recovery, Km_production","10%, 20%",2000
k_recovery↑10% + Km_production↓30%,2,0,1500,0.0,"k_recovery, Km_production","10%, 30%",2000
k_recovery↑20% + Km_production↓10%,2,0,2000,0.0,"k_recovery, Km_production","20%, 10%",2000
k_recovery↑10% + Km_trust_economy↓10%,2,0,1080,0.0,"k_recovery, Km_trust_economy","10%, 10%",2000
k_recovery↑10% + Km_trust_economy↓20%,2,0,1260,0.0,"k_recovery, Km_trust_economy","10%, 20%",2000
k_recovery↑10% + Km_trust_economy↓30%,2,0,1440,0.0,"k_recovery, Km_trust_economy","10%, 30%",2000
k_recovery↑20% + Km_trust_economy↓10%,2,0,1980,0.0,"k_recovery, Km_trust_economy","20%, 10%",2000
k_violence_weak↓10% + k_violence_detached_weak↓10%,2,0,1450,0.0,"k_violence_weak, k_violence_detached_weak","10%, 10%",2000
k_violence_weak↓10% + k_violence_detached↓10%,2,0,1500,0.0,"k_violence_weak, k_violence_detached","10%, 10%",2000
k_violence_weak↓10% + k_detachment_base↓10%,2,0,1350,0.0,"k_violence_weak, k_detachment_base","10%, 10%",2000
k_violence_weak↓10% + k_detachment_base↓20%,2,0,2000,0.0,"k_violence_weak, k_detachment_base","10%, 20%",2000
k_violence_weak↓10% + k_trust_destruction↓10%,2,0,1200,0.0,"k_violence_weak, k_trust_destruction","10%, 10%",2000
k_violence_weak↓10% + k_trust_destruction↓20%,2,0,1700,0.0,"k_violence_weak, k_trust_destruction","10%, 20%",2000
k_violence_weak↓20% + k_trust_destruction↓10%,2,0,1900,0.0,"k_violence_weak, k_trust_destruction","20%, 10%",2000
k_violence_weak↓10% + k_trust_decay↓10%,2,0,1150,0.0,"k_violence_weak, k_trust_decay","10%, 10%",2000
k_violence_weak↓10% + k_trust_decay↓20%,2,0,1600,0.0,"k_violence_weak, k_trust_decay","10%, 20%",2000
k_violence_weak↓20% + k_trust_decay↓10%,2,0,1850,0.0,"k_violence_weak, k_trust_decay","20%, 10%",2000
k_violence_weak↓10% + k_degradation↓10%,2,0,1250,0.0,"k_violence_weak, k_degradation","10%, 10%",2000
k_violence_weak↓10% + k_degradation↓20%,2,0,1800,0.0,"k_violence_weak, k_degradation","10%, 20%",2000
k_violence_weak↓20% + k_degradation↓10%,2,0,1950,0.0,"k_violence_weak, k_degradation","20%, 10%",2000
k_violence_weak↓10% + k_violence_decay↑10%,2,0,1100,0.0,"k_violence_weak, k_violence_decay","10%, 10%",2000
k_violence_weak↓10% + k_violence_decay↑20%,2,0,1500,0.0,"k_violence_weak, k_violence_decay","10%, 20%",2000
k_violence_weak↓10% + k_violence_decay↑30%,2,0,1900,0.0,"k_violence_weak, k_violence_decay","10%, 30%",2000
k_violence_weak↓20% + k_violence_decay↑10%,2,0,1800,0.0,"k_violence_weak, k_violence_decay","20%, 10%",2000
k_violence_weak↓10% + E_threshold↓10%,2,0,1050,0.0,"k_violence_weak, E_threshold","10%, 10%",2000
k_violence_weak↓10% + E_threshold↓20%,2,0,1400,0.0,"k_violence_weak, E_threshold","10%, 20%",2000
k_violence_weak↓10% + E_threshold↓30%,2,0,1750,0.0,"k_violence_weak, E_threshold","10%, 30%",2000
k_violence_weak↓20% + E_threshold↓10%,2,0,1750,0.0,"k_violence_weak, E_threshold","20%, 10%",2000
k_violence_weak↓10% + T_threshold_weak_strong↓10%,2,0,1000,0.0,"k_violence_weak, T_threshold_weak_strong","10%, 10%",2000
k_violence_weak↓10% + T_threshold_weak_strong↓20%,2,0,1300,0.0,"k_violence_weak, T_threshold_weak_strong","10%, 20%",2000
k_violence_weak↓10% + T_threshold_weak_strong↓30%,2,0,1600,0.0,"k_violence_weak, T_threshold_weak_strong","10%, 30%",2000
k_violence_weak↓20% + T_threshold_weak_strong↓10%,2,0,1700,0.0,"k_violence_weak, T_threshold_weak_strong","20%, 10%",2000
k_violence_weak↓20% + T_threshold_weak_strong↓20%,2,0,2000,0.0,"k_violence_weak, T_threshold_weak_strong","20%, 20%",2000
k_violence_weak↓10% + T_threshold_detached_weak↓10%,2,0,1080,0.0,"k_violence_weak, T_threshold_detached_weak","10%, 10%",2000
k_violence_weak↓10% + T_threshold_detached_weak↓20%,2,0,1460,0.0,"k_violence_weak, T_threshold_detached_weak","10%, 20%",2000
k_violence_weak↓10% + T_threshold_detached_weak↓30%,2,0,1840,0.0,"k_violence_weak, T_threshold_detached_weak","10%, 30%",2000
k_violence_weak↓20% + T_threshold_detached_weak↓10%,2,0,1780,0.0,"k_violence_weak, T_threshold_detached_weak","20%, 10%",2000
k_violence_weak↓10% + detachment_threshold↑10%,2,0,1020,0.0,"k_violence_weak, detachment_threshold","10%, 10%",2000
k_violence_weak↓10% + detachment_threshold↑20%,2,0,1340,0.0,"k_violence_weak, detachment_threshold","10%, 20%",2000
k_violence_weak↓10% + detachment_threshold↑30%,2,0,1660,0.0,"k_violence_weak, detachment_threshold","10%, 30%",2000
k_violence_weak↓20% + detachment_threshold↑10%,2,0,1720,0.0,"k_violence_weak, detachment_threshold","20%, 10%",2000
k_violence_weak↓10% + k_resource_depletion↓10%,2,0,950,0.0,"k_violence_weak, k_resource_depletion","10%, 10%",2000
k_violence_weak↓10% + k_resource_depletion↓20%,2,0,1200,0.0,"k_violence_weak, k_resource_depletion","10%, 20%",2000
k_violence_weak↓10% + k_resource_depletion↓30%,2,0,1450,0.0,"k_violence_weak, k_resource_depletion","10%, 30%",2000
k_violence_weak↓20% + k_resource_depletion↓10%,2,0,1650,0.0,"k_violence_weak, k_resource_depletion","20%, 10%",2000
k_violence_weak↓20% + k_resource_depletion↓20%,2,0,1900,0.0,"k_violence_weak, k_resource_depletion","20%, 20%",2000
k_violence_weak↓10% + k_economic_decay↓10%,2,0,920,0.0,"k_violence_weak, k_economic_decay","10%, 10%",2000
k_violence_weak↓10% + k_economic_decay↓20%,2,0,1140,0.0,"k_violence_weak, k_economic_decay","10%, 20%",2000
